item,restaurant,price_usd
Soft Drinks,chick-fil-a,1.85
Dasani Water,chick-fil-a,1.59
Simply Orange Juice,chick-fil-a,2.15
Apple Juice,chick-fil-a,1.09
Freshly-Brewed Tea,chick-fil-a,4.50
Fresh-Squeezed Lemonade,chick-fil-a,9.50
Iced Coffee (Original or Vanilla),chick-fil-a,2.35
Iced Coffee (Original or Vanilla),chick-fil-a,2.65
Coffee,chick-fil-a,1.65
Coffee,chick-fil-a,1.95
Coffee,chick-fil-a,2.15
Coffee,chick-fil-a,12.75
1% Milk Plain or Chocolate,chick-fil-a,1.19
"
Crispy Asparagus
",chilis,7.49
"
Regular & Spicy Loaded Boneless Wings
",chilis,10.99
"
White Spinach Queso
",chilis,7.99
"
Crispy Cheddar Bites
",chilis,7.49
"
Fried Pickles
",chilis,7.49
"
Triple Dipper Combination of 3 appetizers
",chilis,12.99
"
Chips & Salsa
",chilis,5.29
"
Texas Cheese Fries Full
",chilis,9.49
"
Classic Nachos
",chilis,9.99
"
Classic Nachos with Fajita Chicken or Beef
",chilis,11.99
"
Fresh Guacamole
",chilis,7.49
"
Signature Wings
",chilis,10.49
"
Signature Boneless Wings
",chilis,10.69
"
House Salad
",chilis,4.99
"
Quesadilla Explosion Salad
",chilis,10.99
"
Santa Fe Chicken Salad
",chilis,10.99
"
Boneless Buffalo Chicken Salad
",chilis,10.99
"
Caribbean Salad With Grilled Chicken
",chilis,10.99
"
Caribbean Salad with Grilled Shrimp
",chilis,11.99
"
Grilled Chicken Salad 
",chilis,10.99
"
Soup & House Salad
",chilis,6.99
"
Bacon Avocado Chicken Sandwich
",chilis,10.49
"
Buffalo Chicken Ranch Sandwich
",chilis,9.99
"
Southern Smokehouse Burger
",chilis,10.99
"
Big Mouth Bites
",chilis,9.59
"
Ancho Salmon
",chilis,14.99
"
6 oz Sirloin with Grilled Avocado
",chilis,10.99
"
Mango Chile Chicken 
",chilis,11.49
"
Grilled Chicken Salad
",chilis,10.99
"
Margarita Grilled Chicken
",chilis,10.99
"
Mix and Match Fajitas
",chilis,12.99
"
Mix and Match Fajita Trio
",chilis,16.99
"
Beef Enchiladas
",chilis,11.49
"
Green Chile Chicken Enchiladas
",chilis,11.49
"
Prime Rib Fresh Mex Bowl
",chilis,10.99
"
Chipotle Chicken Fresh Mex Bowl
",chilis,11.49
"
Smothered Prime Rib Burrito
",chilis,10.99
"
Ranchero Chicken Tacos
",chilis,10.99
"
Spicy Shrimp Tacos
",chilis,10.99
"
Cajun Chicken Pasta
",chilis,11.99
"
Crispy Honey-Chipotle Crispers
",chilis,11.29
"
Original Chicken Crispers
",chilis,11.29
"
Lunch Combo – Fajitas
",chilis,9.00
"
Lunch Combo – Big Mouth Bites
",chilis,7.49
"
Lunch Combo – Chipotle Chicken Fresh Mex Bowl
",chilis,8.00
"
Dips
",chilis,0.79
"
Molten Chocolate Cake
",chilis,7.29
"
Skillet Chocolate Chip Cookie
",chilis,7.29
"
Cheesecake
",chilis,7.29
"
Fountain Drinks 32 oz
",chilis,1.00
"
Blackberry Iced Tea
",chilis,2.79
"
Mango Iced Tea
",chilis,2.79
"
Strawberry Lemonade
",chilis,2.99
"
IBC Rootbeer
",chilis,2.49
"
Dasani
",chilis,2.09
"
Coffee
",chilis,2.29
"
Milk
",chilis,2.29
"
Iced Tea
",chilis,5.89
"
Strawberry Lemonade
",chilis,7.99
"
Arnold Palmer
",chilis,2.59
"
Juice
",chilis,2.19
"
Pizza Pepperoni
",chilis,4.99
"
Mac & Cheese
",chilis,4.99
"
Pepper Pals Grilled Cheese Sandwich
",chilis,4.99
"
Pepper Pals Cheese Quesadilla
",chilis,4.99
"
Pepper Pals Crispy Chicken Crispers
",chilis,4.99
"
Pepper Pals Grilled Chicken Bites
",chilis,4.99
"
Pepper Pals Cheese Burger Bites
",chilis,4.99
"
Mix & Match Party Platter Fajitas
",chilis,49.99
"
Party Platter Enchiladas
",chilis,49.99
"
Party Platter Baby Back Ribs
",chilis,64.99
"
Party Platter Quesadilla Explosion Salad
",chilis,35.99
"
Party Platter House Salad
",chilis,15.99
"
Party Platter Triple Dipper
",chilis,49.99
"
Party Platter Big Mouth Bites
",chilis,39.99
"
Party Platter Chips & Salsa
",chilis,7.99
"
Party Platter Dessert Trio
",chilis,32.99
"
Party Platter Wings
",chilis,54.99
"
Party Platter Boneless Wings
",chilis,49.99
"
The Culver’s Deluxe Single
",culvers,2.99
"
The Culver’s Deluxe Double
",culvers,4.59
"
The Culver’s Deluxe Triple
",culvers,5.99
"
The Culver’s Bacon Deluxe Single
",culvers,3.49
"
The Culver’s Bacon Deluxe Double
",culvers,5.09
"
The Culver’s Bacon Deluxe Triple
",culvers,6.49
"
ButterBurger The Original Single
",culvers,2.79
"
ButterBurger The Original Double
",culvers,4.29
"
ButterBurger The Original Triple
",culvers,5.59
"
ButterBurger Cheese Single
",culvers,2.99
"
ButterBurger Cheese Double
",culvers,4.59
"
ButterBurger Cheese Triple
",culvers,5.99
"
Cheddar ButterBurger Single
",culvers,3.09
"
Cheddar ButterBurger Double
",culvers,4.79
"
Cheddar ButterBurger Triple
",culvers,6.29
"
Cheddar ButterBurger with Bacon Single
",culvers,3.59
"
Cheddar ButterBurger with Bacon Double
",culvers,5.29
"
Cheddar ButterBurger with Bacon Triple
",culvers,6.79
"
Mushroom And Swiss Single
",culvers,3.39
"
Mushroom And Swiss Double
",culvers,5.09
"
Mushroom And Swiss Triple
",culvers,6.59
"
Sourdough Melt Single
",culvers,3.39
"
Sourdough Melt Double
",culvers,5.09
"
Sourdough Melt Triple
",culvers,6.59
"
Wisconsin Swiss Melt Single
",culvers,3.39
"
Wisconsin Swiss Melt Double
",culvers,5.09
"
Wisconsin Swiss Melt Triple
",culvers,6.59
"
Chicken Tenders 2 Pc
",culvers,4.99
"
Chicken Tenders 4 Pc
",culvers,7.99
"
Chicken Sandwich Crispy
",culvers,4.29
"
Chicken Sandwich Grilled
",culvers,7.29
"
Butter Burger
",culvers,4.99
"
Butter Burger Cheese
",culvers,4.99
"
Tenders 2 Pc
",culvers,4.99
"
Corn Dog
",culvers,4.99
"
Grilled Cheese
",culvers,4.99
"
Chicken Cashew Salad 
",culvers,6.49
"
Garden Fresco Salad
",culvers,4.19
"
Garden Fresco Salad Grilled Chicken
",culvers,6.49
"
Cranberry Bacon Bleu Salad Grilled Chicken
",culvers,6.49
"
George’s Chili
",culvers,2.89
"
Chili Supreme
",culvers,3.29
"
Soft Drink Small
",culvers,1.69
"
Soft Drink Medium
",culvers,1.89
"
Soft Drink Large
",culvers,2.29
"
Root Beer Float Small
",culvers,2.29
"
Root Beer Float Medium
",culvers,2.99
"
White or Chocolate Milk
",culvers,1.69
"
Bottled Water
",culvers,1.69
"
Concrete Mixers Mini
",culvers,2.69
"
Concrete Mixers Short
",culvers,3.09
"
Concrete Mixers Regular
",culvers,4.19
"
Concrete Mixers Tall
",culvers,4.99
"
Shakes Short
",culvers,2.59
"
Shakes Regular
",culvers,3.69
"
Shakes Tall
",culvers,4.49
"
Malts Short
",culvers,2.69
"
Malts Regular
",culvers,3.79
"
Malts Tall
",culvers,4.59
"
Turtle 1 Scoop
",culvers,3.79
"
Turtle 2 Scoop
",culvers,4.59
"
Turtle 3 Scoop
",culvers,5.29
"
Caramel Cashew 1 Scoop
",culvers,3.79
