,restaurant,item,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text,bestseller
33,arbys,Classic French Dip & Swiss,Classic French Dip & Swiss/Au Jus,1,0,60098,Sandwiches,"Classic French Dip & Swiss/Au Jus, Slow Roasted Beef",195.0,,g,,450,20.0,6.0,1.0,50.0,1280,45.0,2.0,9.0,23.0,,,,,,,,,,,,,0
34,arbys,Double Beef 'n Cheddar,Double Beef ‘n Cheddar,0,1,951582,Sandwiches,"Double Beef ‘n Cheddar, Slow Roasted Beef",372.0,,g,,540,17.0,11.0,0.0,50.0,320,86.0,1.0,76.0,12.0,,,,,,,,,,,,,0
35,arbys,Half Pound Roast Beef,Half Pound Roast Beef,0,1,951586,Sandwiches,"Half Pound Roast Beef, Slow Roasted Beef",361.0,,g,,480,17.0,11.0,0.0,55.0,300,70.0,0.0,64.0,12.0,,,,,,,,,,,,,0
36,arbys,Smokehouse Brisket,Smokehouse Brisket,1,0,60088,Sandwiches,"Smokehouse Brisket, Slow Roasted Beef",249.0,,g,,610,30.0,8.0,0.0,65.0,1400,58.0,4.0,7.0,28.0,,,,,,,,,,,,,0
37,arbys,Half Pound Beef 'n Cheddar,Half Pound Beef ‘n Cheddar,0,1,951583,Sandwiches,"Half Pound Beef ‘n Cheddar, Slow Roasted Beef",490.0,,g,,700,21.0,14.0,0.0,65.0,420,113.0,1.0,99.0,16.0,,,,,,,,,,,,,0
38,arbys,Buffalo Chicken Slider,Buffalo Chicken Slider,1,0,150130,Sandwiches,"Buffalo Chicken Slider, Sliders, Kids Meals",154.0,,g,,360,14.0,5.0,0.5,50.0,970,37.0,2.0,5.0,23.0,,,,,,,,,,,,,0
39,arbys,Chicken Slider,Chicken Slider,1,0,943956,Sandwiches,"Chicken Slider, Sliders",129.0,,g,,370,18.0,3.0,0.0,60.0,1190,28.0,2.0,0.0,23.0,,,,,,,,,,,,,0
40,arbys,Jalapeño Roast Beef Slider,Jalapeño Roast Beef Slider,0,1,951629,Sandwiches,"Jalapeño Roast Beef Slider, Sliders",18.0,,fl oz,,250,0.0,0.0,0.0,0.0,60,62.0,0.0,62.0,0.0,,,,,,,,,,,,,0
41,arbys,Roast Beef Slider,Roast Beef Slider,1,0,943958,Sandwiches,"Roast Beef Slider, Sliders",215.0,,g,,610,30.0,4.5,0.0,100.0,1990,47.0,3.0,0.0,39.0,,,,,,,,,,,,,0
42,arbys,Curly Fries,Curly Fries – Kids,1,0,170222,Fried Potatoes,"Curly Fries – Kids, Kids Meals",295.0,,g,,610,30.0,12.0,2.0,130.0,2040,38.0,2.0,5.0,48.0,,,,,,,,,,,,,1
43,arbys,Crinkle Fries,Crinkle Fries – Kids,0,1,951634,Fried Potatoes,"Crinkle Fries – Kids, Kids Meals",13.0,,fl oz,,0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
44,arbys,Premium 4PC Chicken Nuggets,Premium Nuggets (9),0,1,951592,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",128.0,,g,,390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,,,,,,,,,,,,,0
45,arbys,Premium 6PC Chicken Nuggets,Premium Nuggets (9),0,1,951592,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",128.0,,g,,390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,,,,,,,,,,,,,0
46,arbys,Mozzarella Sticks ,Mozzarella Sticks – (4),1,0,27254,Appetizers & Sides,"Mozzarella Sticks – (4), Sides & Snacks",213.0,,g,,150,0.0,0.0,0.0,0.0,10,38.0,0.0,36.0,0.0,,,,,,,,,,,,,0
47,arbys,REESE’S Peanut Butter Cup Cookie,Reese’s Peanut Butter Cup Cookie,0,1,951613,Desserts,"Reese’s Peanut Butter Cup Cookie, Desserts",92.0,,g,,270,11.0,2.5,0.0,25.0,700,30.0,1.0,1.0,13.0,,,,,,,,,,,,,0
48,arbys,Salted Caramel & Chocolate Cookie,Salted Caramel & Chocolate Cookie,1,0,150125,Desserts,"Salted Caramel & Chocolate Cookie, Desserts",358.0,,g,,740,39.0,14.0,2.0,130.0,2530,48.0,2.0,9.0,49.0,,,,,,,,,,,,,0
49,arbys,Apple Turnover,Apple Turnover,1,0,3674,Baked Goods,"Apple Turnover, Desserts",199.0,,g,,110,0.0,0.0,0.0,0.0,10,29.0,0.0,27.0,0.0,,,,,,,,,,,,,0
50,arbys,Cherry Turnover,Cherry Turnover,1,0,3675,Baked Goods,"Cherry Turnover, Desserts",263.0,,g,,150,0.0,0.0,0.0,0.0,10,38.0,0.0,36.0,0.0,,,,,,,,,,,,,0
51,arbys,Orange Cream Shake,"Fanta Orange, 18 oz",0,1,951640,Beverages,"Fanta Orange, 18 oz, Beverages",13.0,,fl oz,,180,0.0,0.0,0.0,0.0,55,47.0,0.0,47.0,0.0,,,,,,,,,,,,,0
52,arbys,Coca-Cola,"Coca-Cola, 13oz",1,0,924878,Beverages,"Coca-Cola, 13oz, Beverages",14.0,,g,,60,5.0,1.0,0.0,5.0,150,3.0,0.0,2.0,0.0,,,,,,,,,,,,,1
53,arbys,Diet Coke,"Diet Coke, 13oz",1,0,943965,Beverages,"Diet Coke, 13oz, Beverages",28.0,,g,,100,10.0,2.0,0.0,15.0,135,1.0,0.0,1.0,1.0,,,,,,,,,,,,,0
54,arbys,Coca-Cola Zero Sugar,"Coca-Cola Zero Sugar, 13oz",1,0,943948,Beverages,"Coca-Cola Zero Sugar, 13oz, Beverages",176.0,,g,,470,23.0,7.0,0.0,75.0,1360,28.0,2.0,2.0,38.0,,,,,,,,,,,,,0
55,arbys,Sprite,"Sprite, 13oz",1,0,924916,Beverages,"Sprite, 13oz, Beverages",268.0,,g,,610,30.0,9.0,0.0,80.0,1580,51.0,4.0,9.0,35.0,,,,,,,,,,,,,0
56,arbys,Dr Pepper,"Dr Pepper, 13oz",1,0,10413,Beverages,"Dr Pepper, 13oz, Beverages",284.0,,g,,200,0.0,0.0,0.0,0.0,10,51.0,0.0,48.0,0.0,,,,,,,,,,,,,0
57,arbys,Diet Dr Pepper,"Diet Dr Pepper, 13oz",0,1,951650,Beverages,"Diet Dr Pepper, 13oz, Beverages",13.0,,fl oz,,160,0.0,0.0,0.0,0.0,50,42.0,0.0,42.0,0.0,,,,,,,,,,,,,0
